temperature,blood_pressure,blood_oxygen,disease
39.43542551597214,97.47484490999082,87.53487708716017,Respiratory Disease
37.06130773442201,69.6310679425452,89.5591548968949,Circulatory Shock
36.13986737883204,63.21910974913458,90.8751895108766,Circulatory Shock
37.52536790689989,72.42609409130327,93.13257142148873,Milk Fever
36.6090793213503,78.22692497763,94.71376082572799,Milk Fever
36.611397500748275,66.76231543319125,85.75910826805273,Circulatory Shock
36.976524826679864,80.74669649686156,91.73297657951765,Milk Fever
39.713482546387375,88.43387986256982,92.88944750533538,Respiratory Disease
41.305456247554446,97.5001739948794,94.45320605472679,Heat Stress
39.63430261358863,97.71186964016374,88.31436510884721,Respiratory Disease
40.500271086958485,90.88131723140762,97.18058946673631,Mastitis
40.5736932912944,83.92882630445571,92.95125575676494,Heat Stress
41.23620593112339,84.9199948061359,90.78558751276067,Heat Stress
39.10312642813302,97.28325405232398,90.55195664769755,Respiratory Disease
38.96159221149925,107.5957156035846,99.90369671791714,Healthy
36.81537734414629,84.9514927210822,90.62061099989258,Milk Fever
40.204664359068126,94.77078078951816,90.38121433454351,Heat Stress
40.82449073724466,94.66665645298653,92.63696212128481,Mastitis
36.608820255500355,74.69088201496106,93.22324907636933,Milk Fever
37.26650032379901,67.38029398691891,88.18083142478733,Circulatory Shock
37.93821697280283,118.48792390753061,99.68411231016546,Healthy
40.624966697678104,91.09130816565398,97.66824429003489,Mastitis
37.52989470302889,85.26038795631335,94.84307862121494,Milk Fever
41.19802208842714,82.36923410188963,92.63417546388268,Heat Stress
37.00074610141395,75.62055852540405,93.4802613317886,Milk Fever
38.03724407704926,109.6709129343985,97.43813904833605,Healthy
37.07470732348399,86.11527665086014,91.52875413438782,Milk Fever
37.275690199371695,89.37325826293475,90.84417254316448,Milk Fever
40.03140699082582,102.81931056197516,97.30606056782773,Mastitis
40.71353546043751,100.3615499608069,95.89733604054177,Mastitis
36.3999894875823,74.92745349584708,89.24191427703383,Circulatory Shock
40.08216472991111,84.50414200432404,95.74088802354527,Heat Stress
36.07102496599026,69.52465627034324,88.00913607208388,Circulatory Shock
36.79927344301785,73.22327375792322,93.47643378651993,Milk Fever
39.39681942933906,87.61396507496626,86.64604395096279,Respiratory Disease
40.445370829184235,92.36437244582177,93.85815026663113,Mastitis
37.60404195131275,104.75086649847755,98.64586743774724,Healthy
40.07836041690719,92.21576802157453,89.4929035317994,Respiratory Disease
40.465803677298965,96.411528786677,91.51321441295599,Heat Stress
37.71737752105864,76.36553092238961,90.4538680839441,Milk Fever
37.70890810899508,119.51747509820107,99.58742921565995,Healthy
36.52731976687058,73.59056584987333,95.2834946587258,Milk Fever
38.522254083335895,113.00402184796306,96.46654305390283,Healthy
38.81600903007147,118.64056211020035,96.51973200620363,Healthy
38.53260359464161,114.5587861394753,95.2583436082898,Healthy
38.0069927352773,114.04929941088207,96.80926546602569,Healthy
39.77266830082604,92.64537430196964,93.420322855123,Mastitis
37.15827341111216,82.74609652856648,95.47042624966411,Milk Fever
40.646661092113256,96.29836889177791,93.22120924332138,Mastitis
41.118273312925936,95.59063363647866,94.81827314805528,Heat Stress
38.84224102564147,115.9756647154733,99.72849073500142,Healthy
36.58712136114484,82.98088934536428,90.24300411889152,Milk Fever
40.492696494484605,97.65672981356158,92.98589732703131,Heat Stress
40.893544317679215,92.06027726729177,90.03194514342638,Heat Stress
37.03871383636099,73.43025995296044,94.14331584239787,Milk Fever
40.165953222215876,101.66418913820524,86.4550510199834,Respiratory Disease
40.26494131268385,84.82699407675,92.83927912130639,Heat Stress
36.061904621061935,77.30831763576887,84.06658263498409,Circulatory Shock
36.497089631544775,60.15082185431997,85.75222747059,Circulatory Shock
37.37523493803513,72.9623584604167,90.00850721512005,Circulatory Shock
36.04122779224406,68.63108579906215,86.75917664624744,Circulatory Shock
36.11871700241731,63.14905914379693,89.98984129543574,Circulatory Shock
39.60323457276595,97.60014270893046,87.48467622462469,Respiratory Disease
36.15289786017085,63.11080183000975,84.7209629162051,Circulatory Shock
39.406363834870305,95.37779063302163,92.58999119402743,Respiratory Disease
36.38679638046727,69.4532945872969,85.26091198831124,Circulatory Shock
39.71048677729027,91.7226427812736,94.63737765063739,Mastitis
36.51217506195118,87.7661549487541,92.40089732343507,Milk Fever
38.02661615436026,87.77432189225493,94.59025913982293,Milk Fever
40.03224929274443,95.36178756837333,93.51291562989022,Heat Stress
38.810835116343775,106.56385507218623,96.84640385107771,Healthy
37.3451270469196,70.67506641187572,81.84753192925311,Circulatory Shock
38.14690610751864,73.72827694332653,90.49181266556094,Milk Fever
41.007438869179914,83.78155307556698,93.71007784227274,Heat Stress
40.06320339269975,98.65542968683638,94.57011080341307,Mastitis
38.57002437882683,115.12326657790493,98.163559393743,Healthy
40.51615710684244,102.19625523096234,94.9542022922075,Mastitis
41.68736105932996,95.16769543179835,92.38852306941739,Heat Stress
37.39683713876835,62.986969006389465,89.5499919074053,Circulatory Shock
40.20582706310288,90.69081220544112,87.68088698370514,Respiratory Disease
38.583400397783485,101.98356199174432,96.66095516557802,Healthy
36.79369633814685,73.51022904930993,92.01148701420199,Milk Fever
39.879652308769415,90.89993642470849,92.71526265704344,Mastitis
39.23986986753619,88.6301592324299,93.14940529742194,Respiratory Disease
38.01951899154894,100.83902446863273,98.64430721134974,Healthy
41.001753211779196,81.58499212259858,90.08369411215146,Heat Stress
40.70147105060505,98.34789564658296,92.10147679952965,Mastitis
